modelo,umbral,tasa_aprobacion,mora_aprobados,precision,recall,f1
V1 (con Genero),0.42,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.425,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.43,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.435,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.44,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.445,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.45,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.455,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.46,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.465,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.47,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.475,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.48,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.485,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.49,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.495,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.5,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.505,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.51,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.515,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.52,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.525,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.53,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.535,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.54,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.545,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.55,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.555,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.56,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.565,1.0,0.0915,0.0,0.0,0.0
